Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,4,2,3,1
2,1,4,2,3,1
3,1,4,2,3,1
4,1,4,2,3,1
5,1,4,2,2,1
6,1,4,2,2,1
7,1,4,2,3,1
8,1,4,2,3,10
9,2,5,3,2,1
10,2,5,3,1,1
11,2,5,3,1,1
12,2,5,3,1,1
13,2,5,3,1,1
14,2,5,3,1,1
15,2,5,3,1,1
16,2,5,3,3,12
17,3,2,1,3,1
18,3,2,1,3,1
19,3,2,1,1,1
20,3,2,1,1,1
21,3,2,1,3,1
22,3,2,1,3,1
23,3,2,1,3,1
24,3,2,1,3,12
25,4,1,1,1,1
26,4,1,1,2,1
27,4,1,1,1,1
28,4,1,1,1,1
29,4,1,1,3,1
30,4,1,1,1,1
31,4,1,1,1,1
32,4,1,1,1,8
33,5,3,2,2,1
34,5,3,2,1,1
35,5,3,2,1,1
36,5,3,2,1,1
37,5,3,2,1,1
38,5,3,2,1,1
39,5,3,2,2,1
40,5,3,2,1,10
41,6,2,1,3,1
42,6,2,1,3,1
43,6,2,1,3,1
44,6,2,1,3,1
45,6,2,1,2,1
46,6,2,1,3,1
47,6,2,1,2,1
48,6,2,1,3,10
49,7,6,3,3,1
50,7,6,3,3,1
51,7,6,3,3,1
52,7,6,3,3,1
53,7,6,3,2,1
54,7,6,3,3,1
55,7,6,3,2,1
56,7,6,3,3,12
57,8,1,1,1,1
58,8,1,1,1,1
59,8,1,1,3,1
60,8,1,1,1,1
61,8,1,1,1,1
62,8,1,1,1,1
63,8,1,1,1,1
64,8,1,1,3,8
65,9,3,2,3,1
66,9,3,2,1,1
67,9,3,2,3,1
68,9,3,2,1,1
69,9,3,2,1,1
70,9,3,2,1,1
71,9,3,2,1,1
72,9,3,2,1,8
