Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,1,1,9,1
2,1,1,1,8,1
3,1,1,1,8,1
4,1,1,1,10,1
5,1,1,1,4,1
6,1,1,1,7,1
7,1,1,1,6,1
8,1,1,1,9,10
9,2,2,0,4,1
10,2,2,0,4,1
11,2,2,0,6,1
12,2,2,0,2,1
13,2,2,0,3,1
14,2,2,0,1,1
15,2,2,0,9,1
16,2,2,0,2,12
17,3,3,0,9,1
18,3,3,0,3,1
19,3,3,0,1,1
20,3,3,0,5,1
21,3,3,0,1,1
22,3,3,0,4,1
23,3,3,0,1,1
24,3,3,0,4,8
25,4,1,0,5,1
26,4,1,0,3,1
27,4,1,0,4,1
28,4,1,0,1,1
29,4,1,0,1,1
30,4,1,0,4,1
31,4,1,0,7,1
32,4,1,0,1,8
33,5,1,1,6,1
34,5,1,1,10,1
35,5,1,1,7,1
36,5,1,1,9,1
37,5,1,1,4,1
38,5,1,1,8,1
39,5,1,1,7,1
40,5,1,1,9,10
41,6,2,1,3,1
42,6,2,1,8,1
43,6,2,1,8,1
44,6,2,1,10,1
45,6,2,1,9,1
46,6,2,1,6,1
47,6,2,1,10,1
48,6,2,1,9,10
49,7,2,0,1,1
50,7,2,0,3,1
51,7,2,0,1,1
52,7,2,0,2,1
53,7,2,0,2,1
54,7,2,0,9,1
55,7,2,0,6,1
56,7,2,0,2,12
57,8,1,0,4,1
58,8,1,0,1,1
59,8,1,0,1,1
60,8,1,0,1,1
61,8,1,0,4,1
62,8,1,0,6,1
63,8,1,0,7,1
64,8,1,0,2,12
65,9,3,1,5,1
66,9,3,1,9,1
67,9,3,1,8,1
68,9,3,1,10,1
69,9,3,1,7,1
70,9,3,1,4,1
71,9,3,1,10,1
72,9,3,1,7,8
