Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,2,0,3,1
2,1,2,0,8,1
3,1,2,0,2,1
4,1,2,0,2,1
5,1,2,0,3,1
6,1,2,0,4,1
7,1,2,0,1,1
8,1,2,0,6,12
9,2,3,1,7,1
10,2,3,1,3,1
11,2,3,1,10,1
12,2,3,1,7,1
13,2,3,1,8,1
14,2,3,1,9,1
15,2,3,1,10,1
16,2,3,1,6,12
17,3,1,1,7,1
18,3,1,1,9,1
19,3,1,1,9,1
20,3,1,1,7,1
21,3,1,1,8,1
22,3,1,1,1,1
23,3,1,1,9,1
24,3,1,1,5,8
25,4,2,1,10,1
26,4,2,1,9,1
27,4,2,1,8,1
28,4,2,1,10,1
29,4,2,1,6,1
30,4,2,1,8,1
31,4,2,1,3,1
32,4,2,1,9,8
33,5,1,1,7,1
34,5,1,1,10,1
35,5,1,1,9,1
36,5,1,1,8,1
37,5,1,1,6,1
38,5,1,1,10,1
39,5,1,1,9,1
40,5,1,1,4,10
41,6,1,0,3,1
42,6,1,0,6,1
43,6,1,0,2,1
44,6,1,0,2,1
45,6,1,0,4,1
46,6,1,0,1,1
47,6,1,0,3,1
48,6,1,0,9,10
49,7,2,0,4,1
50,7,2,0,4,1
51,7,2,0,10,1
52,7,2,0,3,1
53,7,2,0,4,1
54,7,2,0,6,1
55,7,2,0,2,1
56,7,2,0,2,8
57,8,1,0,3,1
58,8,1,0,4,1
59,8,1,0,1,1
60,8,1,0,3,1
61,8,1,0,5,1
62,8,1,0,2,1
63,8,1,0,9,1
64,8,1,0,2,10
65,9,3,0,4,1
66,9,3,0,4,1
67,9,3,0,10,1
68,9,3,0,4,1
69,9,3,0,3,1
70,9,3,0,1,1
71,9,3,0,5,1
72,9,3,0,1,12
