Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,2,1,8,1
2,1,2,1,5,1
3,1,2,1,7,1
4,1,2,1,10,1
5,1,2,1,8,1
6,1,2,1,7,1
7,1,2,1,3,1
8,1,2,1,8,8
9,2,3,1,5,1
10,2,3,1,9,1
11,2,3,1,4,1
12,2,3,1,10,1
13,2,3,1,10,1
14,2,3,1,9,1
15,2,3,1,9,1
16,2,3,1,7,10
17,3,2,1,9,1
18,3,2,1,9,1
19,3,2,1,10,1
20,3,2,1,7,1
21,3,2,1,4,1
22,3,2,1,5,1
23,3,2,1,10,1
24,3,2,1,9,12
25,4,3,1,8,1
26,4,3,1,2,1
27,4,3,1,8,1
28,4,3,1,9,1
29,4,3,1,5,1
30,4,3,1,9,1
31,4,3,1,8,1
32,4,3,1,8,8
33,5,2,0,4,1
34,5,2,0,4,1
35,5,2,0,4,1
36,5,2,0,2,1
37,5,2,0,1,1
38,5,2,0,10,1
39,5,2,0,1,1
40,5,2,0,5,12
41,6,1,1,5,1
42,6,1,1,7,1
43,6,1,1,1,1
44,6,1,1,7,1
45,6,1,1,10,1
46,6,1,1,10,1
47,6,1,1,7,1
48,6,1,1,7,8
49,7,3,0,3,1
50,7,3,0,9,1
51,7,3,0,3,1
52,7,3,0,1,1
53,7,3,0,5,1
54,7,3,0,2,1
55,7,3,0,2,1
56,7,3,0,4,12
57,8,1,0,4,1
58,8,1,0,3,1
59,8,1,0,1,1
60,8,1,0,3,1
61,8,1,0,1,1
62,8,1,0,10,1
63,8,1,0,6,1
64,8,1,0,3,10
65,9,3,0,7,1
66,9,3,0,2,1
67,9,3,0,5,1
68,9,3,0,4,1
69,9,3,0,1,1
70,9,3,0,1,1
71,9,3,0,1,1
72,9,3,0,1,10
