Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,1,1,8,1
2,1,1,1,7,1
3,1,1,1,9,1
4,1,1,1,6,1
5,1,1,1,9,1
6,1,1,1,9,1
7,1,1,1,8,1
8,1,1,1,1,10
9,2,3,0,3,1
10,2,3,0,6,1
11,2,3,0,1,1
12,2,3,0,9,1
13,2,3,0,2,1
14,2,3,0,4,1
15,2,3,0,3,1
16,2,3,0,1,10
17,3,2,0,1,1
18,3,2,0,3,1
19,3,2,0,8,1
20,3,2,0,4,1
21,3,2,0,4,1
22,3,2,0,4,1
23,3,2,0,5,1
24,3,2,0,1,12
25,4,1,0,1,1
26,4,1,0,2,1
27,4,1,0,2,1
28,4,1,0,4,1
29,4,1,0,8,1
30,4,1,0,6,1
31,4,1,0,3,1
32,4,1,0,2,8
33,5,2,0,5,1
34,5,2,0,2,1
35,5,2,0,7,1
36,5,2,0,2,1
37,5,2,0,4,1
38,5,2,0,2,1
39,5,2,0,1,1
40,5,2,0,3,10
41,6,1,0,1,1
42,6,1,0,8,1
43,6,1,0,2,1
44,6,1,0,6,1
45,6,1,0,1,1
46,6,1,0,2,1
47,6,1,0,4,1
48,6,1,0,4,8
49,7,1,1,5,1
50,7,1,1,7,1
51,7,1,1,8,1
52,7,1,1,10,1
53,7,1,1,2,1
54,7,1,1,7,1
55,7,1,1,10,1
56,7,1,1,7,12
57,8,3,1,5,1
58,8,3,1,7,1
59,8,3,1,10,1
60,8,3,1,7,1
61,8,3,1,7,1
62,8,3,1,10,1
63,8,3,1,3,1
64,8,3,1,8,12
65,9,2,1,10,1
66,9,2,1,9,1
67,9,2,1,2,1
68,9,2,1,7,1
69,9,2,1,10,1
70,9,2,1,5,1
71,9,2,1,8,1
72,9,2,1,8,8
